Station Code, RoadNo, Lat, Lon
UBL,R7,15.349639,75.151445
UBL,R7,15.349654,75.151422
UBL,R7,15.349668,75.151399
UBL,R7,15.349683,75.151376
UBL,R7,15.349698,75.151354
UBL,R7,15.349712,75.151331
UBL,R7,15.349726,75.151308
UBL,R7,15.34974,75.151285
UBL,R7,15.349755,75.151263
UBL,R7,15.349771,75.15124
UBL,R7,15.349786,75.151218
UBL,R7,15.349802,75.151196
UBL,R7,15.349818,75.151173
UBL,R7,15.349833,75.15115
UBL,R7,15.349848,75.151128
UBL,R7,15.349863,75.151106
UBL,R7,15.349878,75.151084
UBL,R7,15.349893,75.151062
UBL,R7,15.349908,75.15104
UBL,R7,15.349922,75.151018
UBL,R7,15.349935,75.150996
UBL,R7,15.349949,75.150976
UBL,R7,15.349963,75.150955
UBL,R7,15.349977,75.150934
UBL,R7,15.349991,75.150914
UBL,R7,15.350005,75.150894
UBL,R7,15.350018,75.150874
UBL,R7,15.350031,75.150854
UBL,R7,15.350043,75.150834
UBL,R7,15.350057,75.150814
UBL,R7,15.35007,75.150794
UBL,R7,15.350083,75.150774
UBL,R7,15.350096,75.150754
UBL,R7,15.350109,75.150734
UBL,R7,15.350122,75.150714
UBL,R7,15.350135,75.150695
UBL,R7,15.350148,75.150677
UBL,R7,15.35016,75.150658
UBL,R7,15.350172,75.15064
UBL,R7,15.350184,75.150621
UBL,R7,15.350196,75.150603
UBL,R7,15.350207,75.150585
UBL,R7,15.350218,75.150567
UBL,R7,15.350229,75.150549
UBL,R7,15.35024,75.150531
UBL,R7,15.350251,75.150514
UBL,R7,15.350261,75.150496
UBL,R7,15.350271,75.150479
UBL,R7,15.350282,75.150462
UBL,R7,15.350292,75.150445
UBL,R7,15.350302,75.150429
UBL,R7,15.350312,75.150413
UBL,R7,15.350322,75.150397
UBL,R7,15.350332,75.150382
UBL,R7,15.350341,75.150367
UBL,R7,15.35035,75.150351
UBL,R7,15.350359,75.150336
UBL,R7,15.350367,75.150321
UBL,R7,15.350376,75.150306
UBL,R7,15.350385,75.150292
UBL,R7,15.350393,75.150279
UBL,R7,15.350402,75.150265
UBL,R7,15.350411,75.150252
UBL,R7,15.350419,75.150237
UBL,R7,15.350428,75.150223
UBL,R7,15.350437,75.150211
UBL,R7,15.350445,75.150198
UBL,R7,15.350454,75.150185
UBL,R7,15.350461,75.150172
UBL,R7,15.350469,75.150159
UBL,R7,15.350477,75.150147
UBL,R7,15.350484,75.150135
UBL,R7,15.350492,75.150123
UBL,R7,15.350499,75.15011
UBL,R7,15.350507,75.150099
UBL,R7,15.350514,75.150087
UBL,R7,15.350522,75.150075
UBL,R7,15.35053,75.150064
UBL,R7,15.350537,75.150053
UBL,R7,15.350545,75.150042
UBL,R7,15.350552,75.150031
UBL,R7,15.350559,75.150021
UBL,R7,15.350566,75.150011
UBL,R7,15.350573,75.150001
UBL,R7,15.350579,75.149992
UBL,R7,15.350586,75.149982
UBL,R7,15.350592,75.149973
UBL,R7,15.350599,75.149964
UBL,R7,15.350605,75.149955
UBL,R7,15.350612,75.149946
UBL,R7,15.350618,75.149936
UBL,R7,15.350624,75.149927
UBL,R7,15.35063,75.149919
UBL,R7,15.350636,75.14991
UBL,R7,15.350643,75.149901
UBL,R7,15.350651,75.149893
UBL,R7,15.350658,75.149885
UBL,R7,15.350663,75.149875
UBL,R7,15.350669,75.149866
UBL,R7,15.350676,75.149857
UBL,R7,15.350683,75.149847
UBL,R7,15.35069,75.149837
UBL,R7,15.350696,75.149826
UBL,R7,15.350703,75.149816
UBL,R7,15.350711,75.149805
UBL,R7,15.350718,75.149795
UBL,R7,15.350725,75.149784
UBL,R7,15.350732,75.149773
UBL,R7,15.350738,75.149761
UBL,R7,15.350744,75.149749
UBL,R7,15.35075,75.149738
UBL,R7,15.350756,75.149726
UBL,R7,15.350763,75.149714
UBL,R7,15.35077,75.149702
UBL,R7,15.350777,75.149692
UBL,R7,15.350784,75.14968
UBL,R7,15.350792,75.149669
UBL,R7,15.350799,75.149657
UBL,R7,15.350806,75.149646
UBL,R7,15.350813,75.149634
UBL,R7,15.350821,75.149623
UBL,R7,15.350828,75.149612
UBL,R7,15.350835,75.149601
UBL,R7,15.350842,75.14959
UBL,R7,15.350848,75.14958
UBL,R7,15.350855,75.14957
UBL,R7,15.350862,75.14956
UBL,R7,15.35087,75.149551
UBL,R7,15.350878,75.149541
UBL,R7,15.350885,75.149532
UBL,R7,15.350892,75.149522
UBL,R7,15.350898,75.149513
UBL,R7,15.350904,75.149503
UBL,R7,15.35091,75.149493
UBL,R7,15.350916,75.149484
UBL,R7,15.350922,75.149475
UBL,R7,15.350927,75.149466
UBL,R7,15.350933,75.149457
UBL,R7,15.350938,75.149449
UBL,R7,15.350944,75.14944
UBL,R7,15.350948,75.149432
UBL,R7,15.350953,75.149423
UBL,R7,15.350958,75.149414
UBL,R7,15.350963,75.149406
UBL,R7,15.350968,75.149397
UBL,R7,15.350973,75.149389
UBL,R7,15.350978,75.149381
UBL,R7,15.350983,75.149372
UBL,R7,15.350988,75.149364
UBL,R7,15.350993,75.149355
UBL,R7,15.350998,75.149348
UBL,R7,15.351002,75.14934
UBL,R7,15.351007,75.149333
UBL,R7,15.351011,75.149326
UBL,R7,15.351016,75.149319
UBL,R7,15.351021,75.149313
UBL,R7,15.351026,75.149306
UBL,R7,15.351031,75.149299
UBL,R7,15.351035,75.149292
UBL,R7,15.351039,75.149285
UBL,R7,15.351044,75.149278
UBL,R7,15.351049,75.149271
UBL,R7,15.351054,75.149263
UBL,R7,15.351059,75.149255
UBL,R7,15.351064,75.149247
UBL,R7,15.351069,75.149238
UBL,R7,15.351074,75.14923
UBL,R7,15.351079,75.149222
UBL,R7,15.351085,75.149213
UBL,R7,15.35109,75.149204
UBL,R7,15.351096,75.149196
